round_id,crashed_at,total_bank_usd,users_count,start_at,profit_loss
6964048,1.37,231.33,59,2025-09-01T05:29:19.795800+00:00,158.5537
6964049,2.91,204.98,46,2025-09-01T05:29:37.030700+00:00,-71.6674
6964050,1.37,230.69,54,2025-09-01T05:30:03.611000+00:00,116.696
6964051,3.54,223.26,53,2025-09-01T05:30:20.785400+00:00,-191.1013
6964052,1.19,266.85,66,2025-09-01T05:30:49.761300+00:00,120.3074
6964053,1.27,253.93,60,2025-09-01T05:31:05.231800+00:00,153.9182
6964054,1.63,261.48,66,2025-09-01T05:31:21.390700+00:00,22.967
6964055,1.0,211.82,56,2025-09-01T05:31:40.650200+00:00,211.82
6964056,1.14,206.99,54,2025-09-01T05:31:53.881600+00:00,185.2828
6964057,2.1,267.8,60,2025-09-01T05:32:08.681200+00:00,-37.3325
6964058,3.88,249.86,56,2025-09-01T05:32:31.072800+00:00,-144.6329
6964059,2.57,216.34,54,2025-09-01T05:33:01.243700+00:00,-56.1343
6964060,1.62,301.0,63,2025-09-01T05:33:26.188800+00:00,53.0524
6964061,1.13,297.45,70,2025-09-01T05:33:45.469400+00:00,270.423
6964062,1.0,261.55,53,2025-09-01T05:34:00.221600+00:00,261.55
6964063,1.72,249.03,66,2025-09-01T05:34:13.419400+00:00,53.4595
6964064,3.12,216.97,46,2025-09-01T05:34:33.423500+00:00,-54.958
6964065,1.34,290.49,60,2025-09-01T05:35:00.896600+00:00,196.7634
6964066,1.0,230.45,54,2025-09-01T05:35:17.838200+00:00,230.45
6964067,1.85,287.93,67,2025-09-01T05:35:31.074700+00:00,60.5762
6964068,32.76,270.31,59,2025-09-01T05:35:52.001200+00:00,-224.878
6964069,1.04,242.36,59,2025-09-01T05:36:49.020900+00:00,242.36
6964070,1.2,281.58,71,2025-09-01T05:37:02.704300+00:00,193.427
6964071,1.41,247.17,57,2025-09-01T05:37:18.206100+00:00,126.3692
6964072,1.76,314.85,68,2025-09-01T05:37:35.735200+00:00,46.0501
6964073,2.1,223.47,54,2025-09-01T05:37:56.033100+00:00,30.3186
6964074,1.89,215.34,62,2025-09-01T05:38:18.439500+00:00,40.7531
6964075,1.0,292.64,54,2025-09-01T05:38:39.635200+00:00,292.64
6964076,1.13,238.0,59,2025-09-01T05:38:52.841700+00:00,227.4773
6964077,2.33,216.35,58,2025-09-01T05:39:07.593200+00:00,-57.2921
6964078,1.0,205.74,47,2025-09-01T05:39:31.340300+00:00,205.74
6964079,1.27,227.89,60,2025-09-01T05:39:44.573600+00:00,127.6536
6964080,1.0,227.36,50,2025-09-01T05:40:00.688200+00:00,227.36
6964081,6.35,192.66,53,2025-09-01T05:40:13.923000+00:00,-187.5698
6964082,2.29,212.95,60,2025-09-01T05:40:50.235200+00:00,-21.3447
6964083,3.09,214.86,43,2025-09-01T05:41:13.828900+00:00,-65.054
6964084,42.62,337.27,67,2025-09-01T05:41:41.150500+00:00,-204.3205
6964085,6.05,221.82,44,2025-09-01T05:42:41.473300+00:00,-47.7582
6964086,667.11,205.46,55,2025-09-01T05:43:17.179000+00:00,-165.5399
6964087,1.32,253.36,62,2025-09-01T05:44:52.149800+00:00,164.1735
6964088,1.02,270.11,64,2025-09-01T05:45:08.786700+00:00,270.11
6964089,1.16,168.85,44,2025-09-01T05:45:22.324500+00:00,161.1216
6964090,5.02,193.85,44,2025-09-01T05:45:37.388800+00:00,-206.4898
6964091,1.86,265.9,64,2025-09-01T05:46:10.841900+00:00,32.1535
6964092,1.8,224.36,62,2025-09-01T05:46:31.726700+00:00,64.163
6964093,1.02,236.45,52,2025-09-01T05:46:52.395100+00:00,236.45
6964094,8.18,219.52,59,2025-09-01T05:47:05.808900+00:00,-159.0583
6964095,4.05,267.74,60,2025-09-01T05:47:45.421000+00:00,-247.248
6964096,4.31,212.16,48,2025-09-01T05:48:16.186900+00:00,-183.3661
6964097,3.39,225.29,52,2025-09-01T05:48:47.690900+00:00,-118.3613
6964098,1.85,263.51,64,2025-09-01T05:49:16.210100+00:00,40.1677
6964099,1.69,186.84,43,2025-09-01T05:49:37.110400+00:00,71.0401
6964100,18.07,241.0,58,2025-09-01T05:49:56.800000+00:00,-140.946
